Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	17.826	36.079	242.56
2.0	17.826	36.079	242.64
3.0	17.826	36.079	242.73
4.0	17.826	36.079	242.84
5.0	17.826	36.079	242.97
6.0	17.819	36.081	243.11
6.9	17.792	36.084	243.29
7.9	17.781	36.084	243.52
8.9	17.802	36.081	243.81
9.9	17.768	36.091	244.16
10.9	17.68	36.106	244.54
11.9	17.618	36.109	244.93
12.9	17.599	36.106	245.33
13.9	17.589	36.104	245.73
14.9	17.56	36.114	246.13
15.9	17.473	36.139	246.56
16.9	17.354	36.144	247.06
17.9	17.284	36.123	247.6
18.9	17.273	36.109	248.13
19.9	17.255	36.112	248.63
20.8	17.208	36.117	249.1
21.8	17.151	36.117	249.54
22.8	17.092	36.113	249.96
23.8	17.045	36.105	250.33
24.8	17.027	36.097	250.67
25.8	17.029	36.097	250.96
26.8	17.036	36.101	251.2
27.8	17.039	36.107	251.36
28.8	17.033	36.113	251.47
29.8	17.023	36.117	251.52
30.8	17.015	36.125	251.52
31.8	17.008	36.136	251.47
32.8	16.982	36.148	251.36
33.7	16.929	36.148	251.21
34.7	16.873	36.143	251.02
35.7	16.83	36.148	250.79
36.7	16.802	36.166	250.51
37.7	16.783	36.192	250.16
38.7	16.75	36.218	249.72
39.7	16.7	36.23	249.2
40.7	16.644	36.235	248.59
41.7	16.583	36.24	247.91
42.7	16.503	36.245	247.18
43.7	16.394	36.241	246.38
44.7	16.302	36.231	245.49
45.7	16.225	36.229	244.51
46.7	16.118	36.233	243.44
47.6	16.013	36.223	242.32
48.6	15.957	36.207	241.17
49.6	15.932	36.199	240.0
50.6	15.901	36.196	238.81
51.6	15.854	36.195	237.62
52.6	15.78	36.188	236.44
53.6	15.697	36.173	235.28
54.6	15.64	36.161	234.14
55.6	15.605	36.155	233.05
56.6	15.587	36.152	232.03
57.6	15.581	36.149	231.11
58.6	15.577	36.148	230.26
59.6	15.57	36.148	229.48
60.5	15.557	36.148	228.77
61.5	15.539	36.147	228.14
62.5	15.52	36.145	227.58
63.5	15.5	36.141	227.08
64.5	15.475	36.14	226.62
65.5	15.444	36.137	226.21
66.5	15.421	36.131	225.85
67.5	15.416	36.126	225.53
68.5	15.415	36.126	225.23
69.5	15.405	36.127	224.95
70.5	15.379	36.127	224.69
71.5	15.353	36.122	224.45
72.5	15.335	36.117	224.21
73.4	15.317	36.115	223.98
74.4	15.291	36.113	223.75
75.4	15.262	36.109	223.54
76.4	15.241	36.103	223.34
77.4	15.226	36.1	223.14
78.4	15.198	36.099	222.94
79.4	15.163	36.095	222.75
80.4	15.138	36.089	222.58
81.4	15.128	36.084	222.41
82.4	15.123	36.081	222.24
83.4	15.119	36.081	222.09
84.4	15.114	36.081	221.95
85.4	15.105	36.08	221.84
86.3	15.093	36.079	221.76
87.3	15.078	36.078	221.68
88.3	15.06	36.075	221.6
89.3	15.044	36.072	221.49
90.3	15.034	36.07	221.35
91.3	15.027	36.068	221.22
92.3	15.018	36.068	221.08
93.3	15.005	36.067	220.92
94.3	14.987	36.066	220.71
95.3	14.966	36.062	220.41
