Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	21.662	36.591	213.35
2.0	21.662	36.591	214.53
3.0	21.662	36.591	215.72
4.0	21.662	36.591	216.91
5.0	21.662	36.591	218.11
6.0	21.635	36.594	219.35
6.9	21.562	36.599	220.6
7.9	21.457	36.6	221.81
8.9	21.327	36.601	222.96
9.9	21.186	36.596	224.01
10.9	21.091	36.586	224.97
11.9	21.058	36.578	225.85
12.9	21.037	36.576	226.68
13.9	21.022	36.575	227.43
14.9	21.013	36.574	228.09
15.9	21.004	36.575	228.66
16.9	20.975	36.579	229.12
17.9	20.924	36.582	229.51
18.9	20.868	36.581	229.87
19.9	20.801	36.579	230.24
20.8	20.692	36.583	230.63
21.8	20.526	36.583	231.02
22.8	20.375	36.566	231.4
23.8	20.315	36.545	231.74
24.8	20.306	36.537	232.08
25.8	20.289	36.537	232.43
26.8	20.259	36.536	232.78
27.8	20.221	36.534	233.14
28.8	20.178	36.529	233.53
29.8	20.132	36.524	233.97
30.8	20.092	36.518	234.46
31.8	20.071	36.514	235.02
32.8	20.053	36.511	235.68
33.7	20.038	36.51	236.47
34.7	20.026	36.509	237.39
35.7	20.012	36.51	238.45
36.7	19.935	36.521	239.62
37.7	19.758	36.532	240.9
38.7	19.469	36.534	242.27
39.7	18.995	36.521	243.69
40.7	18.57	36.495	245.11
41.7	18.325	36.472	246.51
42.7	18.031	36.446	247.84
43.7	17.834	36.422	249.06
44.7	17.738	36.414	250.13
45.7	17.63	36.411	251.03
46.7	17.548	36.402	251.76
47.6	17.495	36.393	252.29
48.6	17.458	36.387	252.63
49.6	17.428	36.383	252.78
50.6	17.393	36.381	252.76
51.6	17.344	36.381	252.59
52.6	17.287	36.38	252.3
53.6	17.242	36.377	251.91
54.6	17.19	36.376	251.44
55.6	17.116	36.373	250.91
56.6	17.061	36.364	250.32
57.6	17.032	36.356	249.69
58.6	17.005	36.353	249.04
59.6	16.98	36.351	248.39
60.5	16.949	36.351	247.77
61.5	16.914	36.349	247.16
62.5	16.884	36.344	246.53
63.5	16.864	36.34	245.89
64.5	16.849	36.337	245.22
65.5	16.839	36.336	244.54
66.5	16.823	36.337	243.85
67.5	16.789	36.338	243.14
68.5	16.733	36.335	242.38
69.5	16.645	36.326	241.55
70.5	16.533	36.308	240.62
71.5	16.449	36.293	239.58
72.5	16.407	36.288	238.45
73.4	16.371	36.288	237.3
74.4	16.307	36.288	236.15
75.4	16.205	36.279	234.98
76.4	16.126	36.259	233.77
77.4	16.093	36.246	232.52
78.4	16.067	36.243	231.26
79.4	16.036	36.24	230.05
80.4	16.016	36.236	228.92
81.4	16.0	36.233	227.88
82.4	15.981	36.23	226.93
83.4	15.964	36.226	226.05
84.4	15.939	36.224	225.21
85.4	15.892	36.221	224.4
86.3	15.843	36.212	223.64
87.3	15.819	36.204	222.95
88.3	15.796	36.202	222.35
89.3	15.746	36.198	221.8
90.3	15.688	36.191	221.27
91.3	15.645	36.181	220.75
92.3	15.623	36.173	220.22
93.3	15.617	36.17	219.67
94.3	15.612	36.168	219.07
95.3	15.604	36.168	218.43
96.3	15.579	36.169	217.74
97.3	15.519	36.165	217.0
98.3	15.442	36.151	216.22
99.2	15.378	36.134	215.38
100.2	15.339	36.123	214.51
101.2	15.313	36.117	213.63
102.2	15.289	36.113	212.76
103.2	15.269	36.108	211.9
104.2	15.257	36.104	211.1
105.2	15.242	36.102	210.43
106.2	15.219	36.099	209.9
107.2	15.2	36.097	209.5
108.2	15.17	36.093	209.21
109.2	15.137	36.087	209.04
110.2	15.1	36.08	208.94
111.2	15.068	36.074	208.91
112.1	15.043	36.069	208.93
113.1	15.012	36.065	208.99
114.1	14.975	36.062	209.1
115.1	14.939	36.056	209.21
116.1	14.912	36.049	209.29
117.1	14.896	36.045	209.33
118.1	14.883	36.042	209.35
119.1	14.868	36.04	209.33
120.1	14.851	36.038	209.28
121.1	14.834	36.036	209.23
122.1	14.817	36.033	209.19
123.1	14.797	36.03	209.15
124.0	14.773	36.027	209.11
125.0	14.747	36.022	209.06
126.0	14.718	36.019	209.0
127.0	14.684	36.015	208.94
128.0	14.653	36.009	208.86
129.0	14.631	36.003	208.78
130.0	14.619	35.999	208.71
131.0	14.614	35.997	208.63
132.0	14.603	35.997	208.56
133.0	14.58	35.994	208.48
134.0	14.552	35.99	208.41
135.0	14.526	35.986	208.34
136.0	14.501	35.983	208.3
136.9	14.481	35.978	208.28
137.9	14.467	35.975	208.3
138.9	14.453	35.974	208.35
139.9	14.436	35.972	208.41
140.9	14.421	35.97	208.48
141.9	14.402	35.97	208.55
142.9	14.376	35.967	208.62
143.9	14.356	35.963	208.7
144.9	14.339	35.961	208.76
145.9	14.307	35.96	208.82
146.9	14.256	35.951	208.84
147.9	14.213	35.937	208.82
148.8	14.189	35.93	208.73
149.8	14.174	35.929	208.61
150.8	14.158	35.93	208.47
151.8	14.137	35.929	208.32
152.8	14.119	35.924	208.18
153.8	14.11	35.92	208.04
154.8	14.102	35.917	207.89
155.8	14.09	35.916	207.74
156.8	14.075	35.915	207.6
157.8	14.067	35.913	207.49
158.8	14.06	35.912	207.42
159.8	14.053	35.91	207.38
160.8	14.048	35.909	207.37
161.7	14.044	35.908	207.37
162.7	14.038	35.907	207.36
163.7	14.023	35.908	207.34
164.7	13.981	35.907	207.33
165.7	13.917	35.899	207.31
166.7	13.872	35.887	207.29
167.7	13.857	35.879	207.27
168.7	13.847	35.876	207.23
169.7	13.834	35.875	207.17
170.7	13.827	35.873	207.11
171.7	13.823	35.871	207.04
172.7	13.82	35.871	206.96
173.6	13.808	35.873	206.89
174.6	13.777	35.873	206.83
175.6	13.745	35.869	206.77
176.6	13.725	35.863	206.72
177.6	13.701	35.861	206.68
178.6	13.675	35.856	206.64
179.6	13.656	35.851	206.62
180.6	13.641	35.848	206.6
181.6	13.627	35.845	206.6
182.6	13.616	35.844	206.62
183.6	13.609	35.842	206.65
184.6	13.603	35.84	206.69
185.5	13.598	35.838	206.75
186.5	13.591	35.838	206.8
187.5	13.576	35.838	206.84
188.5	13.555	35.835	206.84
189.5	13.539	35.832	206.8
190.5	13.531	35.829	206.74
191.5	13.524	35.83	206.66
192.5	13.507	35.831	206.57
193.5	13.482	35.829	206.45
194.5	13.465	35.823	206.32
195.5	13.456	35.82	206.16
196.5	13.448	35.819	205.98
197.5	13.441	35.818	205.79
198.4	13.44	35.817	205.63
199.4	13.439	35.817	205.54
200.4	13.438	35.817	205.5
201.4	13.436	35.817	205.49
202.4	13.432	35.817	205.51
203.4	13.425	35.817	205.54
204.4	13.418	35.815	205.57
205.4	13.413	35.814	205.61
206.4	13.407	35.813	205.66
207.4	13.399	35.812	205.72
208.4	13.389	35.812	205.79
209.4	13.38	35.811	205.84
210.3	13.374	35.81	205.86
211.3	13.369	35.809	205.87
212.3	13.364	35.809	205.86
213.3	13.356	35.808	205.84
214.3	13.346	35.808	205.82
215.3	13.336	35.807	205.8
216.3	13.326	35.806	205.79
217.3	13.31	35.806	205.8
218.3	13.295	35.803	205.81
219.3	13.289	35.8	205.82
220.3	13.286	35.798	205.83
221.3	13.285	35.798	205.84
222.2	13.284	35.798	205.85
223.2	13.284	35.798	205.86
224.2	13.283	35.798	205.88
225.2	13.282	35.798	205.9
226.2	13.276	35.798	205.93
227.2	13.262	35.798	205.95
228.2	13.244	35.795	205.96
229.2	13.233	35.793	205.97
230.2	13.227	35.792	205.98
231.2	13.22	35.792	206.0
232.2	13.212	35.79	206.01
233.2	13.203	35.79	206.01
234.1	13.188	35.79	206.01
235.1	13.166	35.79	206.01
236.1	13.147	35.787	206.0
237.1	13.137	35.783	205.99
238.1	13.132	35.781	205.97
239.1	13.125	35.78	205.95
240.1	13.115	35.78	205.93
241.1	13.1	35.778	205.9
242.1	13.087	35.776	205.87
243.1	13.074	35.775	205.84
244.1	13.063	35.774	205.81
245.0	13.055	35.772	205.78
246.0	13.049	35.771	205.76
247.0	13.044	35.771	205.72
248.0	13.041	35.77	205.69
249.0	13.037	35.77	205.66
250.0	13.034	35.77	205.63
251.0	13.033	35.77	205.61
252.0	13.031	35.77	205.6
253.0	13.025	35.77	205.6
254.0	13.016	35.77	205.61
255.0	13.003	35.768	205.62
256.0	12.989	35.766	205.65
256.9	12.978	35.763	205.69
257.9	12.969	35.761	205.74
258.9	12.953	35.76	205.79
259.9	12.933	35.758	205.84
260.9	12.912	35.756	205.89
261.9	12.892	35.753	205.94
262.9	12.879	35.75	205.98
263.9	12.872	35.747	206.01
264.9	12.866	35.747	206.03
265.9	12.857	35.746	206.0
266.9	12.852	35.745	205.95
267.9	12.849	35.744	205.86
268.8	12.846	35.744	205.76
269.8	12.842	35.744	205.65
270.8	12.832	35.745	205.53
271.8	12.82	35.745	205.41
272.8	12.812	35.743	205.27
273.8	12.805	35.742	205.12
274.8	12.797	35.741	204.96
275.8	12.793	35.74	204.82
276.8	12.791	35.74	204.72
277.8	12.788	35.74	204.67
278.8	12.787	35.739	204.63
279.7	12.787	35.739	204.6
280.7	12.787	35.739	204.57
281.7	12.785	35.739	204.56
282.7	12.782	35.739	204.57
283.7	12.781	35.738	204.6
284.7	12.78	35.738	204.65
285.7	12.778	35.737	204.7
286.7	12.777	35.737	204.75
287.7	12.775	35.737	204.78
288.7	12.771	35.737	204.81
289.7	12.768	35.737	204.84
290.7	12.764	35.736	204.88
291.6	12.758	35.737	204.93
292.6	12.74	35.739	204.96
293.6	12.713	35.736	204.98
294.6	12.688	35.731	204.99
295.6	12.673	35.727	204.98
296.6	12.662	35.725	204.97
297.6	12.649	35.725	204.96
298.6	12.631	35.724	204.95
299.6	12.619	35.722	204.94
300.6	12.615	35.719	204.9
301.6	12.613	35.718	204.84
302.5	12.612	35.718	204.74
303.5	12.608	35.718	204.63
304.5	12.601	35.718	204.5
305.5	12.595	35.717	204.38
306.5	12.589	35.717	204.26
307.5	12.581	35.717	204.13
308.5	12.575	35.716	203.99
309.5	12.574	35.715	203.84
310.5	12.572	35.716	203.68
311.5	12.565	35.717	203.54
312.5	12.557	35.717	203.44
313.5	12.548	35.717	203.4
314.4	12.537	35.715	203.4
315.4	12.525	35.713	203.43
316.4	12.51	35.711	203.47
317.4	12.486	35.708	203.51
318.4	12.455	35.702	203.57
319.4	12.436	35.697	203.62
320.4	12.432	35.695	203.69
321.4	12.429	35.695	203.75
322.4	12.426	35.696	203.8
323.4	12.423	35.697	203.82
324.4	12.415	35.697	203.8
325.3	12.41	35.696	203.75
326.3	12.414	35.696	203.67
327.3	12.417	35.7	203.58
328.3	12.414	35.702	203.47
329.3	12.407	35.701	203.36
330.3	12.397	35.701	203.24
331.3	12.388	35.699	203.13
332.3	12.384	35.696	203.03
333.3	12.386	35.696	202.95
334.3	12.387	35.697	202.88
335.3	12.386	35.698	202.82
336.2	12.376	35.699	202.79
337.2	12.354	35.698	202.78
338.2	12.329	35.694	202.78
339.2	12.313	35.689	202.79
340.2	12.305	35.686	202.82
341.2	12.3	35.684	202.86
342.2	12.298	35.683	202.91
343.2	12.294	35.684	202.95
344.2	12.284	35.684	202.98
345.2	12.269	35.682	202.99
346.2	12.253	35.68	202.99
347.1	12.243	35.678	202.98
348.1	12.237	35.676	202.96
349.1	12.236	35.676	202.95
350.1	12.234	35.676	202.93
351.1	12.234	35.676	202.89
352.1	12.234	35.676	202.84
353.1	12.233	35.676	202.79
354.1	12.227	35.677	202.73
355.1	12.214	35.677	202.7
356.1	12.196	35.676	202.68
357.1	12.183	35.673	202.68
358.0	12.175	35.67	202.69
359.0	12.165	35.67	202.7
360.0	12.154	35.668	202.7
361.0	12.147	35.667	202.71
362.0	12.142	35.666	202.73
363.0	12.139	35.666	202.76
364.0	12.138	35.666	202.79
365.0	12.14	35.666	202.81
366.0	12.142	35.667	202.82
367.0	12.137	35.668	202.81
368.0	12.12	35.67	202.8
368.9	12.098	35.668	202.79
369.9	12.079	35.664	202.77
370.9	12.069	35.661	202.76
371.9	12.062	35.66	202.73
372.9	12.056	35.66	202.71
373.9	12.051	35.659	202.68
374.9	12.047	35.659	202.66
375.9	12.04	35.658	202.64
376.9	12.031	35.657	202.62
377.9	12.023	35.656	202.6
378.9	12.017	35.655	202.58
379.8	12.014	35.654	202.56
380.8	12.013	35.653	202.52
381.8	12.013	35.653	202.48
382.8	12.013	35.654	202.42
383.8	12.013	35.654	202.34
384.8	12.013	35.653	202.26
385.8	12.012	35.653	202.17
386.8	12.008	35.653	202.07
387.8	12.004	35.653	201.97
388.8	12.002	35.653	201.86
389.8	11.999	35.653	201.75
390.7	11.993	35.653	201.64
391.7	11.984	35.653	201.54
392.7	11.974	35.652	201.47
393.7	11.966	35.65	201.43
394.7	11.961	35.648	201.4
395.7	11.956	35.647	201.37
396.7	11.951	35.647	201.35
397.7	11.946	35.646	201.31
398.7	11.941	35.646	201.27
399.7	11.935	35.645	201.23
400.7	11.929	35.644	201.18
401.6	11.921	35.645	201.12
402.6	11.909	35.646	201.04
403.6	11.895	35.645	200.94
404.6	11.888	35.643	200.82
405.6	11.883	35.642	200.67
406.6	11.876	35.641	200.52
407.6	11.871	35.641	200.38
408.6	11.866	35.641	200.27
409.6	11.856	35.642	200.18
410.6	11.846	35.641	200.11
411.6	11.84	35.64	200.05
412.5	11.836	35.639	199.99
413.5	11.829	35.64	199.94
